text,all_keyphrases,best_keyphrase,bertscore,all_scores
""" congress should delay the law for a year...""? tell that to my niece whose 17 month old toddler has just been diagnosed with a rare disease that will need years of medical care. without the provisions in the new health care law, this family would be facing bankruptcy. i prefer living in a nation where we have the decency to realize that health care is a right. obviously those who seem to be objecting to the new health care law have never faced what 30 million people face in our country every day. for them another year's delay is life or death.","['Delay health care law', 'Rare disease diagnosis', 'Financial burden of healthcare', 'Healthcare as a right', 'Life or death consequences']",Delay health care law,0.8499026894569397,"[0.8499026894569397, 0.8063795566558838, 0.8209158182144165, 0.8224413990974426, 0.820336103439331]"
"""$200/trip for 30 years doesn't sound so bad compared to all the jobs and development around train stations"" it sure would if it were *your* money. please be more considerate of how you want to spend your neighbor's money. plus, keep in mind that the $200 per trip figure is for construction only. i strongly suspect that the service will require ongoing subsidy to achieve its ridership projections. the o&m costs will be substantial and i doubt riders will fall over themselves to buy tickets at full price. the people who put this 'plan' together should be shot.","['$200/trip construction cost', ""Neighbor's money"", 'Ongoing subsidy needed', 'Substantial O&M costs', 'Ridership projections doubtful']",$200/trip construction cost,0.8390578031539917,"[0.8390578031539917, 0.7977268695831299, 0.8079355955123901, 0.8238825798034668, 0.8093990087509155]"
"""... the development of a ratings system is a complex and massive - but not impossible - undertaking"": well, this gets two out of three right. ""i commend president obama and his administration for tackling this difficult endeavor"": being nice to them might be a smart career move, but it isn't going to do suny any good. ""i ... encourage my colleagues across the country to seek out an active role in the process."" the administration has already told your colleagues how much it values their input; you echo that message when you write ""whether we like it or not.""","['ratings system development', 'difficult endeavor', 'commend Obama administration', 'active role in process', ""value colleagues' input""]",active role in process,0.8210892081260681,"[0.8161736130714417, 0.8086824417114258, 0.818030834197998, 0.8210892081260681, 0.8206775784492493]"
"""...facebook gets a bad rap; it didn't cause the cheating. it just made it more convenient to do (and perhaps easier to catch)."" hmm, call me crazy, but facebook shares some of the responsibility -- does it not? it's like refusing to assign blame to gun dealers and drug dealers. they increase accessibility to illicit materials, which essentially furthers the end goal of usage. now, this isn't to suggest that facebook is entirely at fault, but it does play an active role.","[""Facebook's role in infidelity"", 'Increased accessibility', 'Shared responsibility', ""Facebook's convenience factor"", 'Blame assignment debate']",Facebook's role in infidelity,0.8312462568283081,"[0.8312462568283081, 0.8055038452148438, 0.811163604259491, 0.8078034520149231, 0.8024371266365051]"
"""...as was president bill clinton's cruise-missile barrage against osama bin laden after the embassy bombings in africa in 1998."" yep, that showed him. we didn't hear from bin laden again for what, three years? and, even assuming that we indulge this fantasy of yet another war -- what? more nation building? like those shing bastions of democracy: iraq, afghanistan, libya? we've been soooooo good at that in the middle east. more doing the same thing over and over, and expecting different results. i have no idea what the solution in the middle east is, and frankly, even with all of your expertise mr. gerecht, neither do you. but the first step towards sanity is recognizing that we have to have new solutions because the old ones haven't worked.","[""Clinton's cruise missile barrage"", 'Osama bin Laden', 'Nation building in Middle East', 'Failed Middle East policies', 'Need for new solutions']",Clinton's cruise missile barrage,0.8252605199813843,"[0.8252605199813843, 0.8039891719818115, 0.8177540302276611, 0.8119084239006042, 0.8139607906341553]"
"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" they must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. that much money.","['best managed companies', 'financial success', 'insuring against failure', 'economic stability', 'substantial profits']",best managed companies,0.8387033343315125,"[0.8387033343315125, 0.8221783638000488, 0.8190199136734009, 0.8306057453155518, 0.8252379298210144]"
"""...the need to build attractions outside the casinos..."". attractions bigger and better than the atlantic ocean and beaches?. in other locales, the shore experience is sufficient to sustain a viable local economy. perhaps the emphasis on gambling and not a family friendly environment led to an unsustainable business model, just as occurred at the meadowlands horse track. casinos are no panacea for the decline of aging urban areas.","['build attractions outside casinos', 'bigger and better attractions', 'sustainable local economy', 'family friendly environment', 'casinos not a panacea']",build attractions outside casinos,0.8580169677734375,"[0.8580169677734375, 0.833737850189209, 0.8364490866661072, 0.8348373770713806, 0.8416183590888977]"
"""...tipping motivates people who work long, busy hours catering to the needs of others. it's the best way to ensure optimal service..."" by this logic anyone who works long, busy hours catering to the needs of others should be tipped. tip the doctor. tip the grocery clerk. tip the airline counter agent. tip the airline pilot. etc. i fail to see why those whose particular service happens to be delivering plates of food warrant their own method of compensation. one that puts an onus of extra calculation and deliberation on every single customer, every time they sit down to eat and relax. thankfully, most other services in this world are one-price to the customer. it's left to the employer to do the work of assessing whether the employee is providing good service.","['Tipping motivates service', 'Optimal service ensured by tipping', 'Tipping for all services', 'One-price model for most services', 'Employer assesses employee service']",Tipping motivates service,0.8440346717834473,"[0.8440346717834473, 0.8085149526596069, 0.821035623550415, 0.8377699851989746, 0.8111014366149902]"
"""...type a test essay, press a button and wait for a computerize algorithm to give him a score."" that should be either 'computer' algorithm or 'computerized' algorithm. ""he was devastated when the operating system didn't like what he wrote, elated when it did."" the operating system liked or disliked nothing; it hosted the program that did all the liking etc. no wonder the author doesn't like standards in writing and complains about algorithms, it all is quite confusing to him apparently.","['computerized algorithm scoring', 'essay evaluation system', 'algorithm bias complaint', 'operating system program', ""author's confusion""]",computerized algorithm scoring,0.8189923167228699,"[0.8189923167228699, 0.8102399110794067, 0.7981256246566772, 0.8165760636329651, 0.810265839099884]"
"""75 percent of the students passed their courses with a c or better"" who awards the grades? the same teacher who sets the curriculum? online courses are easier on teachers; do teachers not have an interest in making them appear successful? and what are the grades based on? online exams taken on the honor system? does the author believe that these students haven't opened a new window to consult google, wikipedia or any other online source? how do online students compare with classroom students on objectively assessed test, like the ap exams?","['High student pass rate', 'Grade awarding process unclear', 'Teacher interest in online success', 'Online exam integrity questioned', 'Comparison to classroom students lacking']",Teacher interest in online success,0.8304858803749084,"[0.8287224769592285, 0.8089479804039001, 0.8304858803749084, 0.8258517980575562, 0.814355731010437]"
