text,all_keyphrases,best_keyphrase,bertscore,all_scores
just because a politician never gets charged with a crime doesn't mean that he or she hasn't committed one. we are all aware of the fact that congress does not like to police its own and ethics committee hearings are often a joke. nevertheless a wealthy politician has the same weaknesses of the flesh as the guy of more modest means he can just afford to hire better attorneys and public relations people.,"['Politician without charges', 'Unpoliced Congress', 'Ineffective ethics committees', ""Wealthy politicians' weaknesses"", 'Better attorneys & PR']",Ineffective ethics committees,0.8259781002998352,"[0.810424268245697, 0.7992849349975586, 0.8259781002998352, 0.820143461227417, 0.7957454919815063]"
just don't bother to tell me that charter schools are successful because they are better when they succeed by kicking out any child they want to get rid of for any reason they want. and just because the schools you so admire in the past for being run by uneducated sadists doesn't make it right. there's something truly sick about admiring the schools that beat children and kick them out for any behavioral infractions.,"['Charter school success', 'Expelling students', 'Uneducated sadists', 'Child abuse in schools', 'Behavioral infractions']",Uneducated sadists,0.844986617565155,"[0.8283587694168091, 0.8165236115455627, 0.844986617565155, 0.8228046298027039, 0.8175913691520691]"
"just let me know when i make my reservation. i'll bring my own salt shaker like i bring my own spleda. i know i can ask for the mustard and the ketchup when i go to my usual spots. after eighty years and many cities,towns, and countries the best cook for me is me.","['make reservation', 'bring own salt shaker', 'ask for mustard/ketchup', 'eighty years experience', 'best cook is me']",bring own salt shaker,0.8519879579544067,"[0.8344358801841736, 0.8519879579544067, 0.820975661277771, 0.8179395198822021, 0.8430578112602234]"
"just like other kind of learning, how it's designed and delivered and monitored and revised in response to inputs makes all the difference. through an agency that provides tutors to school districts, i currently tutor children who are not making adequate progress. they use an online learning website that provides remedial content supposedly tailored to their individual needs but most of them hate it and they seem more like chimps typing than kids learning to me. i pull them off the computer every chance i can for small group learning with me leading the lesson, paper, and pencil.","['learning design and delivery', 'remedial online learning', 'student engagement', 'effective tutoring methods', 'small group learning']",effective tutoring methods,0.8365718722343445,"[0.8176780939102173, 0.8197667598724365, 0.7935271859169006, 0.8365718722343445, 0.8319022059440613]"
"just like the bds, this group does the usual, it's always israel's fault and they must be boycotted if they refuse. does hijab understand the real issue or just what agrees with her side only? most countries aren't fooled by what she says and know that boycotting israel does more harm than benefit. by calling on a boycott to israel, you will lose a lot of medical and technological advances that they are creating. of course, she probably doesn't care about other countries that show much more signs of oppression to minority groups be it the kurds, tibetan monks, or any others. however, there are no calls to boycott those countries, which is more proof of anti-semitism. i wonder what she thinks about syria killing a lot more civilians on a higher scale or even russia for what's going on ukraine. my answer is probably nothing. also, many of what happens to the gaza strip is because hamas has a long history of placing their own kind into harm's way while they are hiding in safe shelters and tunnels that their people aren't allowed to use. overall, this is another person who tries to spin around what is actually happening.","['Israel boycott', 'Anti-semitism accusations', 'Ignoring other conflicts', 'Hamas culpability', 'One-sided narrative']",Anti-semitism accusations,0.8213514685630798,"[0.8026983737945557, 0.8213514685630798, 0.7932820916175842, 0.7813130617141724, 0.8177854418754578]"
"just over 70 years ago we allied with josef stalin to defeat nazi germany. stalin's soviet union was at least as bad as the assad regime is now. isis might not yet be the existential threat posed by the axis powers but it is heading that way. point being that we should do whatever is necessary short of wmd to defeat this evil. even if it means cooperating with assad whose regime, while brutal, poses no threat to the us.","['Allied with Stalin against Nazis', ""Stalin's regime's brutality"", 'ISIS as existential threat', 'Defeating ISIS, even with Assad', 'Cooperation despite brutality']",Allied with Stalin against Nazis,0.8281621336936951,"[0.8281621336936951, 0.8220893740653992, 0.8276610374450684, 0.8241301774978638, 0.8115567564964294]"
"just wanted to add that i went to a vegan dinner once in ca for people interested in joining the vegan lifestyle. the food was interesting and very chewy, to the point where my jaw hurt. the regular members were all very thin and did not look particularly healthy. i was mildly chastised by several members for wearing leather sandals and for having a leather bag. leather is a no-no. my overall impression of the event and the people there was that it was like a zealous religious cult with very strict rules.","['Vegan dinner experience', 'Chewy vegan food', 'Thin, unhealthy members', 'Leather attire criticism', 'Zealous religious cult']",Chewy vegan food,0.8336873650550842,"[0.8177280426025391, 0.8336873650550842, 0.8181689977645874, 0.8068115711212158, 0.8084774017333984]"
"just what we need in this country, more recreation areas for the rich. let's make sure the fees are raised enough to keep out the riff raff. then we can put in an airport for the private planes of the rich. hey, how about a trump tower in yosemite? i'm sure donald would go for it.","['Recreation areas for the rich', 'Exclusion of the poor', 'High fees for access', 'Private airport', 'Trump Tower in Yosemite']",Recreation areas for the rich,0.8563029170036316,"[0.8563029170036316, 0.8348443508148193, 0.8300719857215881, 0.827833890914917, 0.8455747365951538]"
"just wish them both well and give them a fair chance. princess diana's verve and spirit made her a superstar, and she used her celebrity to do real good in the world. i hope this will happen with william and kate as well.","['wish them well', ""Diana's verve and spirit"", 'used celebrity for good', 'William and Kate', 'hope for similar impact']",Diana's verve and spirit,0.8681736588478088,"[0.8541208505630493, 0.8681736588478088, 0.8522237539291382, 0.8263146281242371, 0.8209295868873596]"
"justice ginsburg clearly believes that mr trump as president would threaten the rule of law and, in particular, the implementation of the constitution. such a risk is more significant than all other concerns raised by prof gillers. the view of a person of justice ginsburg's learning and experience should be heard on such a grave matter, indeed, in this situation it would be cowardice for her not to speak.","[""Ginsburg's view on Trump"", 'threat to rule of law', 'constitutional implementation', ""Ginsburg's experience crucial"", 'cowardice to remain silent']",threat to rule of law,0.8446080088615417,"[0.8398576974868774, 0.8446080088615417, 0.8065768480300903, 0.8297513127326965, 0.7987008690834045]"
"justice ginsburg does have first amendment rights. and she is right as right can be. i hope to hear from more and more people with intelligence, foresight and the will to speak truth. the majority cannot be silent. the cost would be too great.","[""Justice Ginsburg's First Amendment Rights"", 'Right to Free Speech', 'Speak Truth to Power', 'Majority Voice Crucial', 'High Cost of Silence']",Justice Ginsburg's First Amendment Rights,0.8424524664878845,"[0.8424524664878845, 0.8206890821456909, 0.8008500933647156, 0.802959680557251, 0.8336496353149414]"
justice ginsburg is old enough to do whatever she wants! a sort of old age privilege available to anybody who has passed their 80th birthday. and trump is dangerous enough to scare even the devil. ginsburg did the right thing.,"[""Justice Ginsburg's actions"", 'Old age privilege', ""Trump's danger"", 'Ginsburg did right', 'Right thing done']",Ginsburg did right,0.841022789478302,"[0.8171097636222839, 0.8259434103965759, 0.8196588158607483, 0.841022789478302, 0.7980992197990417]"
"justice ginsburg rightly criticized a candidate who has shown no regard for truth, democracy, ethics, or the rule of law. if there is a future, its people will look back and admire the bravery and decency of those, like justice ginsburg, who recognized the horror for what he is.","[""Justice Ginsburg's criticism"", ""Candidate's disregard for truth"", 'Lack of ethics and democracy', 'Rule of law ignored', 'Bravery and decency admired']",Candidate's disregard for truth,0.8445075154304504,"[0.8208649158477783, 0.8445075154304504, 0.8283044695854187, 0.8363122940063477, 0.8154891729354858]"
justice ginsburg was stating the obvious. trump is not a candidate; he's a demagogue. staying silent in the face of trump is dangerous. paul ryan is increasing public cynicism far more than the wise justice ruth ginsburg. republicans who cannot denounce trump do not have the country's best interests at heart.,"['Ginsburg states the obvious', 'Trump: demagogue, not candidate', 'Silence on Trump is dangerous', 'Ryan increases public cynicism', 'Republicans must denounce Trump']",Ginsburg states the obvious,0.8608633279800415,"[0.8608633279800415, 0.8376036882400513, 0.8468849062919617, 0.84720379114151, 0.8432164788246155]"
"justices are asked questions all the time about cases that may come before the supreme court. that is where they have to refrain from issuing opinions prior to testimony. unless someone is planning to take the republican party to court to prevent them from naming trump as their candidate for president, there is no reason why justice ginsburg should not be able to give her opinion. she can always recuse herself should the case actually materialize, but, i doubt very much that 4 members of the court would ever vote to hear whether or not the emperor really has new clothes.","['Justices refrain from pre-testimony opinions', 'Supreme Court cases', ""Justice Ginsburg's opinion"", 'Recusal possibility', 'Hypothetical court case']",Justices refrain from pre-testimony opinions,0.8404929041862488,"[0.8404929041862488, 0.8181247115135193, 0.8068230152130127, 0.801991879940033, 0.7775170803070068]"
"justices being human, they can't be unbiased, but they must make good-faith efforts to stay so. we need concrete evidence of such efforts: justices crossing ideological lines, justices recusing themselves, justices keeping a distance from potential litigants (such as potential presidents). instead, we see justice ginsburg doing the opposite. is it any wonder that trust in the court has ebbed?","['Judicial impartiality efforts', 'Justice Ginsburg actions', 'Good-faith judicial efforts', 'Crossing ideological lines', 'Recusal and distance from litigants']",Good-faith judicial efforts,0.8408564925193787,"[0.817065417766571, 0.8039157390594482, 0.8408564925193787, 0.8238465189933777, 0.823682427406311]"
justices have free speech but it not part of their job to say political views when their primary job is to enforce the law as it is written or nullify a law which in its time may have been just but it is not now. thats it! no politics are allowed otherwise you open the door to a political discussion from all the justices and you know as well as i that political opinions are not part of the justices area of responsibility.,"[""Justices' free speech"", 'Enforcing the law', 'Nullifying unjust laws', 'No political views', 'Political opinions irrelevant']",Enforcing the law,0.8445461988449097,"[0.8271322250366211, 0.8445461988449097, 0.8149466514587402, 0.8159601092338562, 0.8105199337005615]"
"keep the basket where it is but make a 1 point shot line close to the basket. a dunk requires no skill, it just requires the right genes. and for added fun make another line farther out than the 3 pointer, why not have a 4 point shot?","['1 point shot line', 'close to basket', 'dunk requires no skill', '3 point shot', '4 point shot']",dunk requires no skill,0.8526461720466614,"[0.8354241251945496, 0.8233743906021118, 0.8526461720466614, 0.8390628695487976, 0.8393652439117432]"
"kerry's threat to punish a country that violates the us government's sense of morality and obscenity -- in the absence of any threat to the us -- will tear us society apart. his advocacy of war to overturn the government of that disfavored country places him in something close to the posture of a colonial ruler. if the standards applied to syria today had been applied to iraq in the 1970's, we would have intervened in syria back then. the usa seems to be taking a step back in time with kerry at state.","[""Kerry's morality-based threats"", 'Colonial ruler posture', 'War advocacy', 'Intervention in Syria', 'US foreign policy regression']",Kerry's morality-based threats,0.8400751352310181,"[0.8400751352310181, 0.8194263577461243, 0.8061696290969849, 0.8048039674758911, 0.802232563495636]"
"khalil's very reasoned argument is that jerusalem could -- once again -- shine a powerful beacon of multi-faith coexistence. however, moving the embassy prematurely could knock the region and indeed the world's balance off. his argument seems pro-israeli, pro-peace, pro-palestinian and indeed pro-logic. it is a reasoned and tempered argument in an unseasonable and ill-tempered time.","['Jerusalem multi-faith coexistence', 'Premature embassy move', 'Pro-Israeli, pro-peace stance', 'Pro-Palestinian perspective', 'Reasoned argument in ill-tempered time']",Jerusalem multi-faith coexistence,0.863361120223999,"[0.863361120223999, 0.8174008727073669, 0.8398823142051697, 0.7974256277084351, 0.8453776240348816]"
